Query,Response,Example Output
주소와 주소정보의 차이는?,정보가 부족해서 답을 할 수 없습니다.,"연계기간
(Addressed
Period)
 ddressedPeriod.validFrom
주소가 지정된 객체가 주
소에 의해 유효한 날짜와 
시간
주소 지정
 기간 테이블
AddressedPeriod.validTo
AddressedPeriod.
addressedFrom
주소가 지정된 객체가 주
소에 의해 명확히 확인된 
날짜와 시간
AddressedPeriod.
addressedTo
AddressableObject.id
주소와 연결된 객체
<표 2-48> ISO 표준 내 주소 이력관리 관련 상세 속성항목 
<표 2-48>의 생애주기와 연계기간을 의미하는 상세 속성항목들은 각
각 주소 지정 가능 객체 테이블과 주소 지정 기간 테이블을 구성한다. 앞
서 2장 1절에서 언급한 바와 같이, ISO 표준에서는 생애주기와 연계기간
의 시간정보를 포함하는 해당 테이블들의 연결을 통해 주소와 주소 지정 
가능 객체의 제안, 현재, 철회 등의 단계에 대한 이력 관리가 가능하다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이점에 대해서 설명해줘,"주소와 주소정보의 차이점은 다음과 같습니다:

1. **주소**:
   - 전통적으로 사람을 구분하여 등록하거나 집을 찾는 데 사용되었습니다.
   - 행정구역 이름, 도로명, 건물번호 등으로 구성되며, 특정 위치를 식별하는 기본적인 정보입니다.

2. **주소정보**:
   - 주소의 개념을 확장하여, 모든 접점에 대한 위치 표시를 목적으로 도입되었습니다.
   - 국제표준화기구(ISO)에서 주소를 '식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보'로 정의하고 있습니다.
   - 도형정보와 속성정보를 포함하여, 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 의미합니다.
   
따라서, 주소는 특정 위치를 식별하는 기본적인 정보라면, 주소정보는 이를 확장하여 식별과 위치 파악을 목적으로 하는 보다 구조화된 정보라고 할 수 있습니다.","16
김지영ㆍ이지원
설물 유형의 명칭임을 알 수 있다(MOIS, 2021b). 행정
구역 이름, 도로명, 건물번호는 도로명주소와 동일하므
로, 사물번호, 시설물 유형의 명칭에 대해서 살펴보고
자 한다. 
｢도로명주소법 시행령｣ 제41조제1항을 보면 주소가 
부여되는 시설물의 기준이 되는 점, 즉 사물번호기준점
에 사물번호를 부여하게 된다.  ｢사물주소 부여 대상 
시설물의 유형과 기준점 고시｣에 육교승강기, 둔치주차
장, 지진대피장소, 지진해일대피장소, 소공원, 어린이공
원, 주차장은 출입구나 개방되어 있어 다중의 접근이 
편한 통행로의 중심점으로, 비상급수설, 인명구조함, 드
론 배달점은 해당 시설물의 중심점, 버스정류장이나 택
시승강장은 안내표지나 승차대의 중심점으로 사물번호
기준점이 정의되어 있다. 졸음쉼터는 도로에서 졸음쉼
터의 가감차선이 시작되는 지점, 전기차충전소는 차량
이 진입하는 방향의 충전소 경계의 중심점으로 고시되
어 있다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이는?,정보가 부족해서 답을 할 수 없습니다.,"연계기간
(Addressed
Period)
 ddressedPeriod.validFrom
주소가 지정된 객체가 주
소에 의해 유효한 날짜와 
시간
주소 지정
 기간 테이블
AddressedPeriod.validTo
AddressedPeriod.
addressedFrom
주소가 지정된 객체가 주
소에 의해 명확히 확인된 
날짜와 시간
AddressedPeriod.
addressedTo
AddressableObject.id
주소와 연결된 객체
<표 2-48> ISO 표준 내 주소 이력관리 관련 상세 속성항목 
<표 2-48>의 생애주기와 연계기간을 의미하는 상세 속성항목들은 각
각 주소 지정 가능 객체 테이블과 주소 지정 기간 테이블을 구성한다. 앞
서 2장 1절에서 언급한 바와 같이, ISO 표준에서는 생애주기와 연계기간
의 시간정보를 포함하는 해당 테이블들의 연결을 통해 주소와 주소 지정 
가능 객체의 제안, 현재, 철회 등의 단계에 대한 이력 관리가 가능하다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이점은?,정보가 부족해서 답을 할 수 없습니다.,"연계기간
(Addressed
Period)
 ddressedPeriod.validFrom
주소가 지정된 객체가 주
소에 의해 유효한 날짜와 
시간
주소 지정
 기간 테이블
AddressedPeriod.validTo
AddressedPeriod.
addressedFrom
주소가 지정된 객체가 주
소에 의해 명확히 확인된 
날짜와 시간
AddressedPeriod.
addressedTo
AddressableObject.id
주소와 연결된 객체
<표 2-48> ISO 표준 내 주소 이력관리 관련 상세 속성항목 
<표 2-48>의 생애주기와 연계기간을 의미하는 상세 속성항목들은 각
각 주소 지정 가능 객체 테이블과 주소 지정 기간 테이블을 구성한다. 앞
서 2장 1절에서 언급한 바와 같이, ISO 표준에서는 생애주기와 연계기간
의 시간정보를 포함하는 해당 테이블들의 연결을 통해 주소와 주소 지정 
가능 객체의 제안, 현재, 철회 등의 단계에 대한 이력 관리가 가능하다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이는?,정보가 부족해서 답을 할 수 없습니다.,"연계기간
(Addressed
Period)
 ddressedPeriod.validFrom
주소가 지정된 객체가 주
소에 의해 유효한 날짜와 
시간
주소 지정
 기간 테이블
AddressedPeriod.validTo
AddressedPeriod.
addressedFrom
주소가 지정된 객체가 주
소에 의해 명확히 확인된 
날짜와 시간
AddressedPeriod.
addressedTo
AddressableObject.id
주소와 연결된 객체
<표 2-48> ISO 표준 내 주소 이력관리 관련 상세 속성항목 
<표 2-48>의 생애주기와 연계기간을 의미하는 상세 속성항목들은 각
각 주소 지정 가능 객체 테이블과 주소 지정 기간 테이블을 구성한다. 앞
서 2장 1절에서 언급한 바와 같이, ISO 표준에서는 생애주기와 연계기간
의 시간정보를 포함하는 해당 테이블들의 연결을 통해 주소와 주소 지정 
가능 객체의 제안, 현재, 철회 등의 단계에 대한 이력 관리가 가능하다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이를 설명해줘,정보가 부족해서 답을 할 수 없습니다.,"<표 5-3> 데이터산업 세부 시장 규모
데이터산업 활성화를 위해서 기술 개발·이전 등을 위한 자금 지원, 전
문인력 양성 및 교육 지원, 세제혜택 지원, 관련 법제도 개선이 가장 필요
한 것으로 조사되었는데 이는 다른 산업들과 비교할 때 유사하였다. 다
만, 전체 산업계에서 가장 크게 필요한 것은 전문 인력 양성 및 교육 지
원(53.6%)이 절대적으로 높은 과반수를 차지했으나 데이터산업에서는 
27.1%로 큰 차이를 보이고 있었다.  

제5 장
주소정보산업활성화지원방안
<그림 5-6> 데이터산업 활성화 정책 수요
향후 시장 전망으로는 2024년 추정치로 데이터산업 총매출이 23조 
743억원, 이 중 직접 매출이 10조 5,897억원에 이를 것으로 전망하였다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이는?,정보가 부족해서 답을 할 수 없습니다.,"연계기간
(Addressed
Period)
 ddressedPeriod.validFrom
주소가 지정된 객체가 주
소에 의해 유효한 날짜와 
시간
주소 지정
 기간 테이블
AddressedPeriod.validTo
AddressedPeriod.
addressedFrom
주소가 지정된 객체가 주
소에 의해 명확히 확인된 
날짜와 시간
AddressedPeriod.
addressedTo
AddressableObject.id
주소와 연결된 객체
<표 2-48> ISO 표준 내 주소 이력관리 관련 상세 속성항목 
<표 2-48>의 생애주기와 연계기간을 의미하는 상세 속성항목들은 각
각 주소 지정 가능 객체 테이블과 주소 지정 기간 테이블을 구성한다. 앞
서 2장 1절에서 언급한 바와 같이, ISO 표준에서는 생애주기와 연계기간
의 시간정보를 포함하는 해당 테이블들의 연결을 통해 주소와 주소 지정 
가능 객체의 제안, 현재, 철회 등의 단계에 대한 이력 관리가 가능하다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소와 주소정보의 차이점은?,정보가 부족해서 답을 할 수 없습니다.,"연계기간
(Addressed
Period)
 ddressedPeriod.validFrom
주소가 지정된 객체가 주
소에 의해 유효한 날짜와 
시간
주소 지정
 기간 테이블
AddressedPeriod.validTo
AddressedPeriod.
addressedFrom
주소가 지정된 객체가 주
소에 의해 명확히 확인된 
날짜와 시간
AddressedPeriod.
addressedTo
AddressableObject.id
주소와 연결된 객체
<표 2-48> ISO 표준 내 주소 이력관리 관련 상세 속성항목 
<표 2-48>의 생애주기와 연계기간을 의미하는 상세 속성항목들은 각
각 주소 지정 가능 객체 테이블과 주소 지정 기간 테이블을 구성한다. 앞
서 2장 1절에서 언급한 바와 같이, ISO 표준에서는 생애주기와 연계기간
의 시간정보를 포함하는 해당 테이블들의 연결을 통해 주소와 주소 지정 
가능 객체의 제안, 현재, 철회 등의 단계에 대한 이력 관리가 가능하다.
######
담아 우편 배송이나 위치 찾기에 사용되어 왔음. 2) 주소에 대한 사회적 수요의 변화 ○ 주소는 사람을 구분하여 등록하거나 집을 찾는 데 사용되어 왔으나 도시의 변화 등에 따라 집 찾기에서 방 찾기로 기대 수준이 높아졌고사람이 있는 모든 , 접점에 대한 주소표시의 수요가 발생 3) 주소정보의 등장 ○ 주소정보는 주된 소재지라는 주소의 공사법적 역할에서 벗어나 모든 접점에 -  대한 위치표시로 확대하기 위하여 도입 ○국제표준화기구 (ISO) 에서도 주소 국제표준 (ISO 19160-1) 을 제정하면서 address를 ‘ 식별 및 위치 파악을 목적으로 단일 객체를 명확하게 확인할 수 있게 하는 구조화된 정보로 정의 ’ **나. 주소정보의 의의** ○ 주소정보란 식별과 위치 파악을 목적으로 객체를 명확하게 확인할 수 있게 하는 구조화된 정보를 말함 . 여기에는 도형정보와 속성정보 모두를 포함한다 . 한편으로는 사람과 사물이나 장소의 위치를 직관적으로 인식할 수 있도록 문자 ‘ 로 표현한"
주소정보는?,주소정보는 디지털 인프라로서 그 수요가 증가하고 있습니다. 공공데이터 중 위치정보를 포함하는 데이터의 절반은 주소정보를 포함하고 있습니다.,"스마트시티 컨퍼런스.
행정안전부, 2019, 도로 변 공지 주소참조체계 시범적용 계획. 
행정안전부, 2019, 2020년 주소정책 워크숍 자료집.
행정안전부, 2019, 아파트 동별 출입구 경로정보 구축 계획.
행정안전부, 2019, 지진옥외대피소 사물주소 부여 세부추진 계획.
Deloitte, 2017, 인더스트리 4.0과 디지털 트윈.
ISO, 2015, ISO 19160-1: 2015 Addressing-Part1:Conceptual model.
Market Research Future, 2018, Digital Twin Market Research Report-Global 
Forecast 202.
National Emergency Number Association, 2018, NENA Standard for NG9-1-1 
GIS Data Model.
######
주소는 기존의 개념을 넘어 디지털 인프라로서 그 수
요가 증대되고 있다. 예를 들어 공공데이터 중에서 위
치정보를 포함하는 데이터의 절반은 주소정보를 포함
하고 있다(행정안전부 2021).
국제표준은 국가 간 공동이익 도모를 위해 국제적 
합의로 제정되어 범세계적으로 사용되는 표준으로 단
일화된 세계 시장에서 통용되는 국경을 초월한 경영 
규범이다(한국표준협회 2015). ‘표준을 지배하는 자
가 세계 경제를 지배한다’라는 표준의 경제적 가치에 
대한 인식이 널리 확산하고 있다. 나아가 산업발전과 
기업 성장을 견인하는 국가경쟁력의 핵심 요소인 동
**** 본 연구는 행정안전부 2021년 주소의 국제표준화 대응 방안 마련 연구용역 중 일부를 수정, 보완하여 작성되었음
**** LX 공간정보연구원 선임연구원 LX Spatial Information Research Institute (first author: sh_kim@lx.or.kr)"
건물번호가 부여되는 방법에 대해서 알려줘,정보가 부족해서 답을 할 수 없습니다.,"16
김지영ㆍ이지원
설물 유형의 명칭임을 알 수 있다(MOIS, 2021b). 행정
구역 이름, 도로명, 건물번호는 도로명주소와 동일하므
로, 사물번호, 시설물 유형의 명칭에 대해서 살펴보고
자 한다. 
｢도로명주소법 시행령｣ 제41조제1항을 보면 주소가 
부여되는 시설물의 기준이 되는 점, 즉 사물번호기준점
에 사물번호를 부여하게 된다.  ｢사물주소 부여 대상 
시설물의 유형과 기준점 고시｣에 육교승강기, 둔치주차
장, 지진대피장소, 지진해일대피장소, 소공원, 어린이공
원, 주차장은 출입구나 개방되어 있어 다중의 접근이 
편한 통행로의 중심점으로, 비상급수설, 인명구조함, 드
론 배달점은 해당 시설물의 중심점, 버스정류장이나 택
시승강장은 안내표지나 승차대의 중심점으로 사물번호
기준점이 정의되어 있다. 졸음쉼터는 도로에서 졸음쉼
터의 가감차선이 시작되는 지점, 전기차충전소는 차량
이 진입하는 방향의 충전소 경계의 중심점으로 고시되
어 있다."
