Class/Concept,법적근거,클래스,URI,표제어,설명,상위 클래스,동치관계(koad:hualEquivalent)
Concept,No,AdministrativeCity,http://vocab.datahub.kr/def/administrative-division/AdministrativeCity,행정시,"특별자치도 내에서 행정 편의를 위해 설치된 시를 말한다. 현재 제주특별자치도의 제주시와 서귀포시가 이에 해당한다. 행정시는 일반 시와 달리 자치권이 없는 행정기관이다. 시장은 도지사가 임명하며, 별도의 시의회를 두지 않는다. 특별자치도로부터 위임받은 사무를 처리하며, 주민생활과 밀접한 행정서비스를 제공한다. 행정시는 법인격이 없고 예산편성권이나 조례제정권도 없어, 특별자치도의 하부행정기관으로서의 성격을 갖는다.",,
Concept,No,AdministrativeDistrict,http://vocab.datahub.kr/def/administrative-division/AdministrativeDistrict,행정구,"50만 이상 대도시의 행정 효율과 주민 편의를 위해 설치하는 행정기관이다. 자치권이 없는 행정 단위로, 해당 시의 직속 기관이다. 구청장은 일반적으로 시장이 임명하며, 별도의 구의회는 없다. 시장의 지휘·감독을 받아 위임된 사무를 처리한다. 주로 특례시나 대도시에서 볼 수 있으며, 동을 관할한다. 행정구는 자치구와 달리 독자적인 예산 편성권이나 조례 제정권이 없고, 시의 정책을 집행하는 역할을 주로 수행한다.",,
Class,Yes,AdministrativeDong,http://vocab.datahub.kr/def/administrative-division/AdministrativeDong,행정동,법정동을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정동을 통합하거나 하나의 법정동을 분할하여 만들어진다. 주민센터가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,koad:Dong,koad:AdministrativeNeighborhood
Class,Yes,AdministrativeMyeon,http://vocab.datahub.kr/def/administrative-division/AdministrativeMyeon,행정면,법정면을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정면을 통합하거나 하나의 법정면을 분할하여 만들어진다. 면사무소가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,koad:Myeon,koad:AdministrativeTownship
Concept,No,AdministrativeNeighborhood,http://vocab.datahub.kr/def/administrative-division/AdministrativeNeighborhood,행정동,법정동을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정동을 통합하거나 하나의 법정동을 분할하여 만들어진다. 주민센터가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,,
Class,Yes,AdministrativeRi,http://vocab.datahub.kr/def/administrative-division/AdministrativeRi,행정리,지방자치단체의 조례에 따라 하나의 리를 2개 이상의 라로 운영하거나 2개 이상의 리를 하나의 리로 운영하는 행정 목적의 명칭이다.,koad:Ri,koad:AdministrativeRuralVillage
Concept,No,AdministrativeRuralVillage,http://vocab.datahub.kr/def/administrative-division/AdministrativeRuralVillage,행정리,지방자치단체의 조례에 따라 하나의 리를 2개 이상의 라로 운영하거나 2개 이상의 리를 하나의 리로 운영하는 행정 목적의 명칭이다.,,
Class,Yes,AdministrativeSi,http://vocab.datahub.kr/def/administrative-division/AdministrativeSi,행정시,"특별자치도 내에서 행정 편의를 위해 설치된 시를 말한다. 현재 제주특별자치도의 제주시와 서귀포시가 이에 해당한다. 행정시는 일반 시와 달리 자치권이 없는 행정기관이다. 시장은 도지사가 임명하며, 별도의 시의회를 두지 않는다. 특별자치도로부터 위임받은 사무를 처리하며, 주민생활과 밀접한 행정서비스를 제공한다. 행정시는 법인격이 없고 예산편성권이나 조례제정권도 없어, 특별자치도의 하부행정기관으로서의 성격을 갖는다.",koad:Si,koad:AdministrativeCity
Concept,No,AdministrativeTownship,http://vocab.datahub.kr/def/administrative-division/AdministrativeTownship,행정면,법정면을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정면을 통합하거나 하나의 법정면을 분할하여 만들어진다. 면사무소가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,,
Class,No,AutonomousCity,http://vocab.datahub.kr/def/administrative-division/AutonomousCity,자치시,"자치권이 부여된 시의 유형이다. 일반적으로 기초지방자치단체로서의 지위를 가지며, 독자적인 의사결정권과 행정권을 행사할 수 있다. 자치시는 시장과 시의회를 주민이 직접 선출하며, 법령의 범위 내에서 조례를 제정할 수 있는 권한을 가진다. 현재 대한민국의 대부분의 시가 이 자치시의 형태로 운영되고 있으며, 도시 지역의 특성에 맞는 행정 서비스를 제공한다. 다만, 특별시, 광역시, 특별자치시 등과는 구별되는 개념이다.",koad:Si,
Concept,No,AutonomousDistrict,http://vocab.datahub.kr/def/administrative-division/AutonomousDistrict,자치구,"특별시와 광역시의 관할구역 안에 설치되는 기초지방자치단체이다. 독자적인 자치권과 법인격을 가지며, 구청장과 구의회를 선출한다. 행정적으로는 동을 두어 관리한다. 일반 시·군과 같은 지위를 가지지만, 도시 특성에 맞는 행정을 수행한다. 재정과 인사권 등에서 일부 제약이 있으나, 지역 주민들의 복지와 생활에 밀접한 자치 사무를 독립적으로 처리한다.",,
